gender,senior_citizen,Partner,Dependents,tenure,contract,paperless_billing,monthly_charges,total_charges,phone_service,charge_per_tenure,total_addons,high_risk_flag,payment_risk_flag,tenure_group,multiple_lines_No phone service,multiple_lines_Yes,internet_service_Fiber optic,internet_service_No,online_security_No internet service,online_security_Yes,online_backup_No internet service,online_backup_Yes,device_protection_No internet service,device_protection_Yes,tech_support_No internet service,tech_support_Yes,streaming_tv_No internet service,streaming_tv_Yes,streaming_movies_No internet service,streaming_movies_Yes,payment_method_Credit card (automatic),payment_method_Electronic check,payment_method_Mailed check,churn
0,0,1,1,0.9164859351332638,2,1,0.1367174442137754,0.677167163559567,1,-0.5177514899042776,-1.109762475828853,0,0,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,-0.06045170099299184,0,1,0.6576988836659831,0.1378082679158427,1,-0.3547550003854248,-0.031297311737476054,0,0,2.0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,1,1,1,-0.1825689055087738,0,1,-0.9633166142474143,-0.5816952702649228,0,-0.5171877489119725,-0.5705298937831644,0,1,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,0,0,0,-0.6710377235719016,2,0,-1.5257774676687466,-0.8655256490862239,1,-0.5313782546894191,-1.109762475828853,0,0,1.0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
1,0,0,0,-1.0780950719578415,0,0,-1.4859572302583868,-0.9516598430455984,1,-0.32825296905062945,-1.109762475828853,0,0,0.0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
1,1,1,0,-0.22327464034736777,1,1,0.695859944517578,-0.034767271993591815,1,-0.30645498401483273,-0.031297311737476054,0,1,2.0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,0,0,0,1.0386031396490458,2,1,-1.3150620447055927,-0.3619938392131716,1,-0.6103650427310561,-1.109762475828853,0,0,3.0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
1,0,1,1,1.6084834273893616,2,1,1.326347036848275,2.3840765940825652,1,-0.49426471034419023,1.5864004343995892,0,0,3.0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0
0,0,0,0,-0.1825689055087738,0,1,-0.9682941439237093,-0.587070430101919,0,-0.5177833997717665,-0.031297311737476054,0,1,2.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
1,0,1,1,0.30589991255435406,1,1,0.667653943018573,0.463499075181995,1,-0.4208618037724314,-0.031297311737476054,0,1,2.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
1,0,0,0,-1.2816237461508113,0,0,-1.4743429943470319,-0.9999265844390328,1,0.5206345991358698,-1.109762475828853,0,1,0.0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1
0,0,0,0,-1.1188008067964355,0,1,0.5000771105833088,-0.8279214696551572,1,0.8757086950019929,-0.5705298937831644,1,1,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
0,0,0,0,-1.2816237461508113,0,1,0.14169497389007057,-0.978557581658485,1,3.3247602967596843,-1.109762475828853,1,1,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,1,-0.8338606629262776,0,1,1.3396204493183947,-0.4491811257120391,1,0.2730423917481409,1.0471678523539008,0,1,1.0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0
1,0,0,0,-1.1188008067964355,0,1,1.034331962505636,-0.809975017627962,1,1.1847191243773754,0.5079352703082123,0,1,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,1,0,1.5677776925507676,2,1,0.7024966507526377,1.64394999367006,1,-0.5220356850764073,2.1256330164452777,0,0,3.0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0
1,0,0,0,-1.2002122764736234,0,1,0.39886734049864436,-0.9087024432054416,1,1.5556276055996905,-1.109762475828853,1,1,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0,1,0,-0.10115743583158582,0,0,-1.5025489958460367,-0.7211422740361364,1,-0.5867508025487814,-1.109762475828853,0,0,2.0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
0,0,1,0,-0.30468611002455576,1,1,-1.4842980536996218,-0.7860610412103057,1,-0.5702770409284887,-1.109762475828853,0,0,2.0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
1,0,1,1,0.7943687306174818,2,0,-1.3399496930870676,-0.42487223959207304,1,-0.6064042597672896,-1.109762475828853,0,1,3.0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
0,1,0,0,0.5501343215859179,1,1,1.495583045842304,1.1300847132532315,1,-0.390225401817997,1.5864004343995892,0,1,2.0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1
1,0,0,0,-0.9559778674420595,0,1,0.18483356441796028,-0.7465700709793139,1,0.15212526720994765,-1.109762475828853,1,1,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,1,0,-0.5489205190561197,0,1,0.7273842991341125,-0.32248092955427354,1,-0.15966817534925062,-0.5705298937831644,0,1,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0,0,0,0,-0.8338606629262776,0,1,-0.5153389433808665,-0.7405367283051346,1,-0.2221420230273171,-0.5705298937831644,0,1,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,1,1,0,0.5094285867473239,1,1,1.1206091435614158,0.9769475064686075,1,-0.4126553393286939,1.0471678523539008,0,0,2.0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0
0,0,1,1,0.14307697319997809,0,1,1.313073624378155,0.6079921473716129,1,-0.33450002034594706,1.0471678523539008,0,0,2.0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0
1,0,0,0,0.22448844287716607,0,1,1.0011484313303363,0.6107345758598762,1,-0.37893565704387533,0.5079352703082123,0,0,2.0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0
1,0,1,1,-1.2816237461508113,0,0,-1.5174815848749215,-1.0004970095645918,1,0.4457811410884169,-1.109762475828853,0,1,0.0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
1,0,1,0,-0.9152721326034655,0,1,1.113972437326356,-0.5535689236892943,1,0.37145113379654066,0.5079352703082123,1,1,1.0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1
1,0,1,1,-0.7931549280876836,0,0,-0.6679831867872458,-0.7635511881786404,1,-0.2912375227634275,-1.109762475828853,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,-0.5896262538947137,1,1,0.5664441729339085,-0.3834505997053438,1,-0.1627441372892572,1.0471678523539008,0,0,1.0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1
0,0,1,0,0.18378270803857208,2,0,-0.6480730680820658,-0.30988769793616844,0,-0.522161956092007,0.5079352703082123,0,1,2.0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
1,0,0,1,-1.1188008067964355,0,0,-1.4793205240233267,-0.9553895457896364,1,-0.2691653492366144,-1.109762475828853,0,0,0.0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
1,0,0,0,-0.8745663977648716,0,0,0.33250027814804467,-0.6510896807319381,1,0.05951810436918861,-0.5705298937831644,1,1,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
1,0,0,1,1.2828375486806096,0,1,1.135541732590301,1.698930200002763,1,-0.484084834206392,1.0471678523539008,0,0,3.0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0
1,0,0,0,-1.2816237461508113,0,0,-0.3112602266527725,-0.984547045476852,1,2.538798987261428,-0.5705298937831644,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,1,1,0,0.18378270803857208,0,1,0.9148712502745568,0.5151664279008761,1,-0.37942520005819996,-0.031297311737476054,0,1,2.0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
0,0,1,1,0.631545791263106,0,1,1.3379612727596297,1.183924069334817,1,-0.4123896660082061,1.0471678523539008,0,0,2.0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0
1,1,1,0,-0.5082147842175256,0,1,0.9828974891839214,-0.17537706544382886,1,-0.14125641817750526,-0.031297311737476054,0,1,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
0,0,0,0,-0.2639803751859618,0,1,0.15165003324266044,-0.21908040583279326,1,-0.3633186305128266,0.5079352703082123,0,0,2.0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,-0.10115743583158582,2,0,-1.5108448786398618,-0.7550825690068833,1,-0.5876795055022237,-1.109762475828853,0,0,2.0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
0,0,0,0,1.4863662228735797,2,1,0.06537285218688103,0.9998083903467704,1,-0.5496875943954024,0.5079352703082123,0,1,3.0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
1,0,1,1,1.2421318138420157,2,1,0.8120023036311275,1.4472630224918142,1,-0.49888389436621755,2.1256330164452777,0,0,3.0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0
1,0,1,0,-1.1188008067964355,0,0,-1.5125040551986266,-0.9536124521292417,1,-0.2883585436077562,-1.109762475828853,0,1,0.0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1
1,0,1,0,0.26519417771576004,2,1,-1.4760021709057967,-0.6622787889640525,1,-0.6008717309558723,-1.109762475828853,0,0,2.0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
1,0,0,1,-1.1595065416350294,0,1,1.2201597370873154,-0.8489613810171134,1,1.6825905863647932,0.5079352703082123,1,1,0.0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1
1,0,1,0,1.1200146093262338,2,0,1.2019087949409006,1.6533839476696857,1,-0.46879030282302264,0.5079352703082123,0,0,3.0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
1,0,1,1,-0.5489205190561197,0,0,1.273253386967795,-0.12577201894812187,1,-0.06494976112766586,1.0471678523539008,0,1,1.0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
0,0,1,0,-0.8745663977648716,0,1,1.2301147964399053,-0.5063552748353529,1,0.31910605823888116,0.5079352703082123,1,1,1.0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1
0,1,0,0,-0.06045170099299184,0,1,1.1620885575305409,0.3893438088593547,1,-0.30005439642767073,0.5079352703082123,0,1,2.0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1
1,0,0,0,-0.10115743583158582,0,1,0.642766294637098,0.061108027956093984,1,-0.3465882187885912,0.5079352703082123,0,0,2.0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
1,0,0,0,0.8350744654560759,2,0,-1.3382905165283026,-0.44771118404233,1,-0.6072854567415621,-1.109762475828853,0,1,3.0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
0,0,0,0,-1.1188008067964355,0,1,0.8103431270723621,-0.8063330725955483,1,1.0551650623721682,0.5079352703082123,0,1,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1
1,1,0,0,0.7536629957788878,1,1,0.4868036981131887,0.7351311320875006,1,-0.4834647463882475,-0.5705298937831644,0,0,3.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,1.5677776925507676,2,0,0.8086839505135972,1.7943447719664205,1,-0.5169174999107695,2.1256330164452777,0,0,3.0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0
0,0,0,1,1.1607203441648277,2,1,-1.3250171040581826,-0.3514629138182404,1,-0.6133117070172325,-1.109762475828853,0,0,3.0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
1,1,0,0,-0.9966836022806536,0,1,0.31756768911915967,-0.7427745499515576,1,0.2935151324106922,-0.5705298937831644,1,1,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
1,0,1,0,-0.9152721326034655,0,1,-0.3311703453579522,-0.7593168785927619,1,-0.08447447431067276,-0.031297311737476054,0,0,1.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,1,0,-0.8338606629262776,0,1,-0.5004063543519814,-0.7381233912354629,0,-0.21815574419638759,0.5079352703082123,0,0,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
1,0,1,0,1.3642490183577978,0,0,-0.03583691789778363,0.8623359350871068,1,-0.5500018880686868,-0.031297311737476054,0,1,3.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
1,0,0,0,-0.3453918448631497,0,0,-0.14866092389380306,-0.3767371347660752,1,-0.3812919907528247,0.5079352703082123,0,0,1.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0,0,1,1,-1.1595065416350294,0,0,-0.2797358720362375,-0.9057625598660234,1,0.6415517236740632,-0.031297311737476054,0,1,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
0,0,0,0,-1.1595065416350294,0,1,0.7970697146022425,-0.8530640540355553,1,1.3889347124863238,-0.031297311737476054,1,1,0.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
0,0,0,1,0.1023712383613841,1,0,-0.30960105009400735,-0.1241265618551639,1,-0.48188992018343585,-0.031297311737476054,0,0,2.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,1,0,0,0.5094285867473239,0,1,0.689223238282518,0.6488653015606894,1,-0.44520032108845614,0.5079352703082123,0,0,2.0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,0,1.3235432835192036,1,1,1.495583045842304,2.123436190558019,1,-0.4678149109779318,1.5864004343995892,0,0,3.0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0
0,0,1,1,-0.7524491932490895,0,1,0.5299422886410788,-0.503086300077343,1,-0.0386550848392016,-0.5705298937831644,0,0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,1,1,1.1607203441648277,1,1,-0.4722003528529765,0.346386409019198,0,-0.565576375210296,1.0471678523539008,0,0,3.0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
1,0,1,1,1.4456604880349857,2,0,0.5116913464946635,1.34963256830964,1,-0.5256448401048938,-0.031297311737476054,0,0,3.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,0,1,1,-0.38609757970174374,1,1,-0.2382564580671127,-0.4460218480935598,1,-0.3826451109559902,0.5079352703082123,0,1,1.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
0,0,0,0,0.9164859351332638,0,1,0.5515115839050234,0.9697952529712167,1,-0.49204631887149836,-0.031297311737476054,0,1,3.0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
1,0,1,1,1.4863662228735797,2,0,-1.3432680462045974,-0.2549952493150897,1,-0.6195234030572568,-1.109762475828853,0,0,3.0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
0,0,1,0,-1.0373893371192475,0,0,0.5415565245524336,-0.754380507313888,1,0.5098384273021026,1.5864004343995892,0,0,1.0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0
0,0,1,1,1.6084834273893616,2,0,0.4685527559667738,1.5056438401499639,1,-0.5350436753710955,-0.5705298937831644,0,0,3.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1.1607203441648277,1,1,-0.5053838840282764,0.29050668614234454,1,-0.5674337811171807,-0.5705298937831644,0,0,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1.2828375486806096,1,0,0.5100321699358986,1.192787598208884,1,-0.5174809924121788,-0.031297311737476054,0,0,3.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,1,1,0,-0.019745966154397852,0,1,0.9380997220972668,0.2771675139754317,1,-0.3345094518910926,-0.031297311737476054,0,1,2.0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
0,0,0,0,-1.2816237461508113,0,1,0.4851445215544238,-0.9740161200819208,1,3.920708981983636,-0.5705298937831644,1,1,0.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
1,0,0,0,-1.2002122764736234,0,1,0.5763992322864984,-0.9148454830191515,1,1.709652990428103,-0.031297311737476054,0,1,0.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,0,0,1,-1.2002122764736234,0,0,-1.4842980536996218,-0.9867190488395567,1,-0.07819306524375372,-1.109762475828853,0,0,0.0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
0,0,1,0,1.6084834273893616,2,1,0.6460846477546283,1.6661307552831337,1,-0.5266039282572099,1.5864004343995892,0,0,3.0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0
0,0,0,1,-0.2639803751859618,0,1,-1.1657361544167435,-0.6638145489174799,0,-0.5326452564093441,-0.5705298937831644,0,1,2.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0.26519417771576004,2,1,1.1786803231181906,0.6592207115323717,1,-0.3705533985021709,1.0471678523539008,0,1,2.0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0
0,0,0,0,-1.2816237461508113,0,0,-1.5058673489635668,-1.0003434335692487,1,0.46593399517811585,-1.109762475828853,0,1,0.0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
0,0,0,0,-1.2816237461508113,0,1,-1.5075265255223318,-1.000365372997155,1,0.46305501602244453,-1.109762475828853,0,1,0.0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
0,0,1,1,0.9571916699718578,1,0,0.7954105380434776,1.1709798068702142,1,-0.4801389621004545,-0.031297311737476054,0,0,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0,1,1,0,0.428017117070136,1,1,1.4142833944628193,0.9805016937893966,1,-0.3782612108780362,1.0471678523539008,0,1,2.0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
0,0,0,1,-1.2816237461508113,0,0,-1.3117436915880627,-0.9977765205042344,1,0.802774556391654,-1.109762475828853,0,1,0.0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
1,0,0,0,-0.1418631706701798,1,0,0.1981069768880804,-0.1468777485937965,1,-0.3875873585065592,0.5079352703082123,0,0,2.0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0
1,0,0,0,-1.2409180113122174,0,1,0.5664441729339085,-0.9278994426232848,1,2.4879370221779022,-0.5705298937831644,1,1,0.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
1,0,0,0,1.4456604880349857,1,0,0.4868036981131887,1.3875000208755799,1,-0.526896570172577,-0.031297311737476054,0,0,3.0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
1,0,1,1,1.4049547531963917,0,1,0.8169798333074222,1.7875216098876217,1,-0.5080923938714896,-0.031297311737476054,0,0,3.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,0,1,1,-0.5489205190561197,2,1,-1.3283354571757127,-0.8037003412468154,1,-0.5163736927369206,-1.109762475828853,0,0,1.0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
1,0,1,1,1.3642490183577978,2,1,-0.2714399892424126,0.618281739059577,0,-0.5622053221016814,1.0471678523539008,0,0,3.0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0
0,0,1,0,-1.1595065416350294,0,1,-1.1906238027982183,-0.9520547527479083,0,0.009327901088652887,-0.5705298937831644,1,1,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,1,1,-0.9559778674420595,2,0,-1.4992306427285067,-0.9164909401121094,1,-0.43230750139131957,-1.109762475828853,0,1,1.0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
1,1,1,0,0.8350744654560759,0,1,1.2915043291142099,1.3980528856984173,1,-0.438278717417897,1.0471678523539008,0,1,3.0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1
0,0,0,0,-0.38609757970174374,0,1,-1.5075265255223318,-0.8026033698515102,1,-0.5661800321300335,-1.109762475828853,0,1,1.0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
0,0,1,0,0.7129572609402939,1,0,1.4474669256381192,1.4529892131753082,1,-0.41463847245553315,1.5864004343995892,0,1,3.0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,-1.2409180113122174,0,0,0.33250027814804467,-0.9423355861855031,1,2.2173129815448034,-0.5705298937831644,1,1,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,0,1,0,1.0793088744876398,1,0,-1.4793205240233267,-0.4529766467397956,1,-0.6206887041440762,-1.109762475828853,0,1,3.0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
1,0,1,1,1.2421318138420157,2,0,0.6162194696968583,1.3758940635132497,1,-0.5095001300027554,1.5864004343995892,0,0,3.0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0
0,0,1,0,-0.30468611002455576,0,1,0.2030845065643751,-0.20256001661949494,1,-0.345052286980975,1.0471678523539008,0,1,2.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0
0,0,0,0,-0.7524491932490895,0,1,0.5150096996121938,-0.5385404155736113,1,-0.04210985982600715,-0.5705298937831644,0,1,1.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1,0,1,0,1.3235432835192036,1,0,0.07035038186317573,0.8820594807746965,1,-0.542755610817981,0.5079352703082123,0,0,3.0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
1,1,1,0,1.4863662228735797,2,0,-0.2780766954774726,0.7254558443809077,0,-0.5667146996875153,1.0471678523539008,0,0,3.0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0
0,0,1,1,-0.4675090493789317,0,1,0.3026351000902746,-0.32191050442871477,1,-0.2721315701848818,-0.5705298937831644,0,0,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
